what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1719005280598
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1719005280599
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1719005280600
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1719005280601
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1719005280603
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1719005280613
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1719005280614
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1719005280615
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1719005280615
os,sysinfo,,,"win32",1719005280622
arch,sysinfo,,,"x86_64",1719005280622
ws,sysinfo,,,"win32",1719005280622
locale,sysinfo,,,"fr_FR",1719005280622
processors,sysinfo,,,"2",1719005280622
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1719005280622
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1719005280622
java.specification.name,sysinfo,,,"Java Platform API Specification",1719005280622
java.specification.vendor,sysinfo,,,"Oracle Corporation",1719005280622
java.specification.version,sysinfo,,,"1.8",1719005280622
java.vendor,sysinfo,,,"Oracle Corporation",1719005280622
java.version,sysinfo,,,"1.8.0_161",1719005280622
java.vm.info,sysinfo,,,"mixed mode",1719005280622
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1719005280622
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1719005280622
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1719005280622
java.vm.specification.version,sysinfo,,,"1.8",1719005280622
java.vm.vendor,sysinfo,,,"Oracle Corporation",1719005280622
java.vm.version,sysinfo,,,"25.161-b12",1719005280622
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719005287407
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719005287671
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719005287690
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719005298125
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719005298301
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719005298301
