what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715162147708
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715162149159
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1715162154418
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1715162159986
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1715162167103
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1715162183357
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715162293365
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715162360290
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1715162363970
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1715162401397
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1715162415296
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1715162415414
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1715162418192
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1715162420078
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1715162420218
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1715162422277
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1715162431373
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715162451593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715162477205
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1715162477254
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1715162483516
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1715162520899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715162568064
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715162692920
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715163330719
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715164136716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715164138236
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715164140994
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1715164142723
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1715164146250
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1715164146260
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1715164146302
