what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719426877369
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719426880821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719426908931
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719426916085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719426939169
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719426979375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427056452
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427067871
error,log,,,"Could not retrieve declared methods",1719427079315
error,log,,,"Could not retrieve declared methods",1719427079346
error,log,,,"Could not retrieve declared methods",1719427079346
error,log,,,"Could not retrieve declared methods",1719427079362
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1719427101565
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1719427104673
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427114613
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427169626
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1719427172985
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427381498
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427518300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427522236
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427533638
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427559396
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427574313
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1719427585528
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719427590839
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719427600460
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1719427604600
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1719427699445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427710361
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427791851
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427854558
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719427870545
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1719428144903
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1719428147262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428171655
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428266521
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428377023
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428388416
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428424304
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428435078
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719428439888
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719428444590
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719428454165
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719428461725
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719428484267
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1719428524296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428533572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428547118
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1719428550148
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428554350
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428562076
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719428563185
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719428563481
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428568178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428623223
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428683042
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428684994
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719428685213
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719428689321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428725311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428728294
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719428728669
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719428742657
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428744625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719428760912
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1719428914344
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1719428916734
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719429022827
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719429027028
