what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1719523944240
java.vm.specification.version,sysinfo,,,"1.8",1719523944240
java.vm.vendor,sysinfo,,,"Oracle Corporation",1719523944240
java.vm.version,sysinfo,,,"25.161-b12",1719523944240
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719523954698
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719523955432
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719523982611
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719523983205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719523997841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719523999793
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719524000140
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719524000827
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1719524015900
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1719524043330
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1719524046547
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1719524054247
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719524058653
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1719524082752
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719524089831
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719524096275
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719524101137
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719524102684
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719524103061
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719524103545
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1719524120282
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719524122093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719524123576
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719524124265
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719524124828
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1719524126109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719524129670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1719524135684
