what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1718370892716
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1718370892716
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1718370892716
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1718370892716
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1718370892732
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1718370892732
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1718370892748
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1718370892748
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1718370892748
os,sysinfo,,,"win32",1718370892763
arch,sysinfo,,,"x86_64",1718370892763
ws,sysinfo,,,"win32",1718370892763
locale,sysinfo,,,"fr_FR",1718370892763
processors,sysinfo,,,"2",1718370892763
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1718370892763
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1718370892763
java.specification.name,sysinfo,,,"Java Platform API Specification",1718370892763
java.specification.vendor,sysinfo,,,"Oracle Corporation",1718370892763
java.specification.version,sysinfo,,,"1.8",1718370892763
java.vendor,sysinfo,,,"Oracle Corporation",1718370892763
java.version,sysinfo,,,"1.8.0_161",1718370892763
java.vm.info,sysinfo,,,"mixed mode",1718370892763
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1718370892763
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1718370892763
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1718370892763
java.vm.specification.version,sysinfo,,,"1.8",1718370892763
java.vm.vendor,sysinfo,,,"Oracle Corporation",1718370892763
java.vm.version,sysinfo,,,"25.161-b12",1718370892763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718371014234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718371058764
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718371059795
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718371060280
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1718371060280
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718371077174
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718371077205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718371079501
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718371082828
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718371083937
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1718371085999
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1718371086795
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1718371086842
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1718371086952
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1718784731322
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1718784731337
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1718784731337
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1718784731337
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1718784731337
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1718784731337
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1718784731353
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1718784731353
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1718784731353
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1718784731353
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1718784731369
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1718784731369
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1718784731384
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1718784731384
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1718784731400
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1718784731400
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1718784731400
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1718784731400
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1718784731415
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1718784731415
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1718784731415
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1718784731431
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1718784731431
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1718784731431
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1718784731431
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1718784731431
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1718784731447
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1718784731447
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1718784731447
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1718784731462
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1718784731462
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1718784731462
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1718784731462
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1718784731462
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1718784731462
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1718784731462
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1718784731478
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1718784731478
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1718784731478
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1718784731478
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1718784731478
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1718784731478
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1718784731493
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1718784731493
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1718784731493
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1718784731493
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1718784731509
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1718784731509
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1718784731509
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.200.v201008201800,"org.eclipse.jst.ws.jaxrs.core",1718784731525
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1718784731525
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1718784731525
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1718784731525
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1718784731525
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1718784731540
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1718784731540
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1718784731540
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1718784731540
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1718784731572
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1718784731572
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1718784731572
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1718784731572
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1718784731572
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1718784731603
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1718784731603
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1718784731603
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1718784731603
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1718784731618
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1718784731618
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1718784731634
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1718784731634
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1718784731634
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1718784731634
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1718784731665
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1718784731665
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1718784731665
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1718784731665
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1718784731681
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1718784731681
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1718784731681
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1718784731697
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1718784731697
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1718784731712
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1718784731712
os,sysinfo,,,"win32",1718784731743
arch,sysinfo,,,"x86_64",1718784731743
ws,sysinfo,,,"win32",1718784731743
locale,sysinfo,,,"fr_FR",1718784731743
processors,sysinfo,,,"2",1718784731743
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1718784731743
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1718784731743
java.specification.name,sysinfo,,,"Java Platform API Specification",1718784731743
java.specification.vendor,sysinfo,,,"Oracle Corporation",1718784731743
java.specification.version,sysinfo,,,"1.8",1718784731743
java.vendor,sysinfo,,,"Oracle Corporation",1718784731743
java.version,sysinfo,,,"1.8.0_161",1718784731743
java.vm.info,sysinfo,,,"mixed mode",1718784731743
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1718784731743
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1718784731743
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1718784731743
java.vm.specification.version,sysinfo,,,"1.8",1718784731743
java.vm.vendor,sysinfo,,,"Oracle Corporation",1718784731743
java.vm.version,sysinfo,,,"25.161-b12",1718784731743
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1718784734555
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718784737626
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718784797340
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718784817486
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718784818126
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718784821969
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718784825702
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718784826112
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718784826815
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718784845251
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1718784849765
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718784850059
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1718784850700
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1718784851059
