what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1716793935067
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1716793935067
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1716793935082
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1716793935082
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1716793935082
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1716793935098
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1716793935113
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1716793935113
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1716793935113
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1716793935129
os,sysinfo,,,"win32",1716793935145
arch,sysinfo,,,"x86_64",1716793935145
ws,sysinfo,,,"win32",1716793935145
locale,sysinfo,,,"fr_FR",1716793935145
processors,sysinfo,,,"2",1716793935145
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1716793935145
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1716793935145
java.specification.name,sysinfo,,,"Java Platform API Specification",1716793935145
java.specification.vendor,sysinfo,,,"Oracle Corporation",1716793935145
java.specification.version,sysinfo,,,"1.8",1716793935145
java.vendor,sysinfo,,,"Oracle Corporation",1716793935145
java.version,sysinfo,,,"1.8.0_161",1716793935145
java.vm.info,sysinfo,,,"mixed mode",1716793935145
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1716793935145
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1716793935145
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1716793935145
java.vm.specification.version,sysinfo,,,"1.8",1716793935145
java.vm.vendor,sysinfo,,,"Oracle Corporation",1716793935145
java.vm.version,sysinfo,,,"25.161-b12",1716793935145
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1716793936254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716793940034
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716793967363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716793979031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716793993105
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1716793998272
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716794008929
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716794009678
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716794015770
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1716794267416
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716794285383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716795333002
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1716795343247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716795355167
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716795355432
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716795387622
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716795394823
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1716795407265
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1716795407359
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1716795407374
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1716795407608
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1716795407624
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716795458877
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716795459143
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716795480751
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1716795480907
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716795482500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716795502837
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1716795503134
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716795546765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716795648072
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716795681110
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716795684008
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1716795709215
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1716795712838
