what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1717647328766
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1717647328797
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1717647328797
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1717647328797
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1717647328797
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1717647328797
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1717647328797
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1717647328797
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1717647328813
os,sysinfo,,,"win32",1717647328813
arch,sysinfo,,,"x86_64",1717647328813
ws,sysinfo,,,"win32",1717647328813
locale,sysinfo,,,"fr_FR",1717647328813
processors,sysinfo,,,"2",1717647328813
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1717647328813
java.runtime.version,sysinfo,,,"1.8.0_161-b12",1717647328813
java.specification.name,sysinfo,,,"Java Platform API Specification",1717647328813
java.specification.vendor,sysinfo,,,"Oracle Corporation",1717647328813
java.specification.version,sysinfo,,,"1.8",1717647328813
java.vendor,sysinfo,,,"Oracle Corporation",1717647328813
java.version,sysinfo,,,"1.8.0_161",1717647328813
java.vm.info,sysinfo,,,"mixed mode",1717647328813
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1717647328813
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1717647328813
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1717647328813
java.vm.specification.version,sysinfo,,,"1.8",1717647328813
java.vm.vendor,sysinfo,,,"Oracle Corporation",1717647328813
java.vm.version,sysinfo,,,"25.161-b12",1717647328813
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1717647339368
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1717647341805
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1717647342711
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1717647342929
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1717647344507
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1717647356339
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1717647394042
